,Portfolio_Return
2026-04-06 12:20:00,0.0
2026-04-06 12:25:00,0.0
2026-04-06 12:30:00,0.0
2026-04-06 12:35:00,0.0
2026-04-06 12:40:00,0.0
2026-04-06 12:45:00,0.0
2026-04-06 12:50:00,0.0
2026-04-06 12:55:00,0.0
2026-04-06 13:00:00,0.0
2026-04-06 13:05:00,0.0
2026-04-06 13:10:00,0.0
2026-04-06 13:15:00,0.0
2026-04-06 13:20:00,0.0
2026-04-06 13:25:00,0.0
2026-04-06 13:30:00,0.0
2026-04-06 13:35:00,0.0
2026-04-06 13:40:00,0.0
2026-04-06 13:45:00,0.0
2026-04-06 13:50:00,0.0
2026-04-06 13:55:00,0.0
2026-04-06 14:00:00,0.0
2026-04-06 14:05:00,0.0
2026-04-06 14:10:00,0.0
2026-04-06 14:15:00,0.0
2026-04-06 14:20:00,0.0
2026-04-06 14:25:00,0.0
2026-04-06 14:30:00,0.0
2026-04-06 14:35:00,0.0
2026-04-06 14:40:00,0.0
2026-04-06 14:45:00,0.0
2026-04-06 14:50:00,0.0
2026-04-06 14:55:00,0.0
2026-04-06 15:00:00,0.0
2026-04-06 15:05:00,0.0
2026-04-06 15:10:00,0.0
2026-04-06 15:15:00,0.0
2026-04-06 15:20:00,0.0
2026-04-06 15:25:00,0.0
2026-04-06 15:30:00,0.0
2026-04-06 15:35:00,0.0
2026-04-06 15:40:00,0.0
2026-04-06 15:45:00,0.0
2026-04-06 15:50:00,0.0
2026-04-06 15:55:00,0.0
2026-04-07 09:30:00,0.0
2026-04-07 09:35:00,-0.0022004470125648397
2026-04-07 09:40:00,-0.00024784195519344534
2026-04-07 09:45:00,-0.00015412466796239178
2026-04-07 09:50:00,0.002422749083136245
2026-04-07 09:55:00,-0.0010991679587969228
2026-04-07 10:00:00,-0.0007065290698516129
2026-04-07 10:05:00,-0.0017240020165698823
2026-04-07 10:10:00,0.0010842633063894323
2026-04-07 10:15:00,0.00046750048352950466
2026-04-07 10:20:00,0.0018270099879228044
2026-04-07 10:25:00,-0.00023344034181758212
2026-04-07 10:30:00,0.0007948678665598327
2026-04-07 10:35:00,-0.0005036489890631083
2026-04-07 10:40:00,-0.0001343812248478594
2026-04-07 10:45:00,-0.0002473872157492099
2026-04-07 10:50:00,-0.0002913252832181112
2026-04-07 10:55:00,-0.0012307545782204088
2026-04-07 11:00:00,-0.00073901977128797
2026-04-07 11:05:00,-0.0013768314744294465
2026-04-07 11:10:00,-4.331788706408841e-05
2026-04-07 11:15:00,0.0011318380946805044
2026-04-07 11:20:00,-0.0009761323850501101
2026-04-07 11:25:00,0.0007921322663628834
2026-04-07 11:30:00,0.0002375733398448778
2026-04-07 11:35:00,0.00010796944847716859
2026-04-07 11:40:00,-0.0009659088850557128
2026-04-07 11:45:00,-0.00028439619274344546
2026-04-07 11:50:00,0.0003067938314504868
2026-04-07 11:55:00,0.0004357506953773061
2026-04-07 12:00:00,0.002574174987803208
2026-04-07 12:05:00,-0.0009637844402549349
2026-04-07 12:10:00,0.0005561255256214537
2026-04-07 12:15:00,-7.18879557056646e-05
2026-04-07 12:20:00,0.0002499663310764046
2026-04-07 12:25:00,0.0005287656028378961
2026-04-07 12:30:00,0.00015042141777650168
2026-04-07 12:35:00,-0.0010472274645921152
2026-04-07 12:40:00,0.000386480658538308
2026-04-07 12:45:00,0.0006030090319171297
2026-04-07 12:50:00,0.00017089851482529476
2026-04-07 12:55:00,-0.000474431600186317
2026-04-07 13:00:00,0.000579012023159162
2026-04-07 13:05:00,-0.00026518169522280984
2026-04-07 13:10:00,-0.0002115019579671525
2026-04-07 13:15:00,-0.0006934660176820676
2026-04-07 13:20:00,-0.00014729623252823592
2026-04-07 13:25:00,-2.7163471228886963e-05
2026-04-07 13:30:00,0.0011740848317854905
2026-04-07 13:35:00,0.001292622550384798
2026-04-07 13:40:00,-0.0007307431760263913
2026-04-07 13:45:00,-0.00031041141743467295
2026-04-07 13:50:00,4.8499569794533914e-05
2026-04-07 13:55:00,-0.0002593883691931262
2026-04-07 14:00:00,-0.0002705906453544129
2026-04-07 14:05:00,-0.0003453017429730879
2026-04-07 14:10:00,0.00017264882955517083
2026-04-07 14:15:00,0.0005484618906358705
2026-04-07 14:20:00,-0.0005696441125724156
2026-04-07 14:25:00,-3.6381795474985595e-05
2026-04-07 14:30:00,1.3154714402066567e-05
2026-04-07 14:35:00,-0.0004483950199598504
2026-04-07 14:40:00,-0.0004088057304180015
2026-04-07 14:45:00,-0.0005585004893113559
2026-04-07 14:50:00,-0.0010810702873211464
2026-04-07 14:55:00,-0.0003551169147413024
2026-04-07 15:00:00,-0.00043796580056091266
2026-04-07 15:05:00,-0.000980259007086571
2026-04-07 15:10:00,0.0010716698500759618
2026-04-07 15:15:00,0.0034824539511068018
2026-04-07 15:20:00,-0.0006083969770877929
2026-04-07 15:25:00,0.00018857967424786986
2026-04-07 15:30:00,-0.0007446537912849337
2026-04-07 15:35:00,-0.0013691841169963894
2026-04-07 15:40:00,0.00045461143768414305
2026-04-07 15:45:00,0.001459361560957999
2026-04-07 15:50:00,0.0004759582514628696
2026-04-07 15:55:00,0.00037613680952755697
2026-04-08 09:30:00,0.01858189535375189
2026-04-08 09:35:00,0.0010837211688292292
2026-04-08 09:40:00,-9.615935928873815e-05
2026-04-08 09:45:00,0.00040087475969475893
2026-04-08 09:50:00,-0.0027445245861813707
2026-04-08 09:55:00,0.0019030423064858228
2026-04-08 10:00:00,0.0013020323125306167
2026-04-08 10:05:00,-0.00025094957164580235
2026-04-08 10:10:00,0.0003756272880270012
2026-04-08 10:15:00,-0.0005833987027557205
2026-04-08 10:20:00,-0.00029257176884690806
2026-04-08 10:25:00,-0.0011455481274300653
2026-04-08 10:30:00,-0.001307667143941738
2026-04-08 10:35:00,-0.0012741788850286402
2026-04-08 10:40:00,0.0007004914453224074
2026-04-08 10:45:00,0.0004625677336898725
2026-04-08 10:50:00,-0.0007321595642734709
2026-04-08 10:55:00,-0.00031880515389656
2026-04-08 11:00:00,0.000709404913896735
2026-04-08 11:05:00,-0.0008829339352038699
2026-04-08 11:10:00,0.0001535865868421332
2026-04-08 11:15:00,0.00042992479267048403
2026-04-08 11:20:00,0.00033898009458758794
2026-04-08 11:25:00,-0.0007993841505621597
2026-04-08 11:30:00,0.0011849537054009688
2026-04-08 11:35:00,0.0006478168332057881
2026-04-08 11:40:00,-0.0003091431868860428
2026-04-08 11:45:00,0.0005491769156018713
2026-04-08 11:50:00,0.00029880424137847397
2026-04-08 11:55:00,-0.00016061119045588144
2026-04-08 12:00:00,0.0006777818438986642
2026-04-08 12:05:00,-5.9449950362905125e-05
2026-04-08 12:10:00,-0.0005322886458243587
2026-04-08 12:15:00,-0.00025576363367770286
2026-04-08 12:20:00,-0.00032782964056561517
2026-04-08 12:25:00,-0.00022987845796494197
2026-04-08 12:30:00,0.00024329801776679875
2026-04-08 12:35:00,2.031450640089959e-05
2026-04-08 12:40:00,0.0003176721331530643
2026-04-08 12:45:00,0.0001085975093509131
2026-04-08 12:50:00,-0.0005465300076090668
2026-04-08 12:55:00,0.00018704781412187514
2026-04-08 13:00:00,0.00012599183762694805
2026-04-08 13:05:00,-0.00022275591685304318
2026-04-08 13:10:00,0.00023342968185840362
2026-04-08 13:15:00,-9.171453897500742e-05
2026-04-08 13:20:00,-0.0007243345074518118
2026-04-08 13:25:00,-9.943868253676157e-05
2026-04-08 13:30:00,0.00014414117501767418
2026-04-08 13:35:00,0.00043785063556755534
2026-04-08 13:40:00,0.0006230595500889314
2026-04-08 13:45:00,0.00012481731685734876
2026-04-08 13:50:00,0.0004984095773541311
2026-04-08 13:55:00,0.0003373816484779722
2026-04-08 14:00:00,0.00040442413331799457
2026-04-08 14:05:00,0.000151937168101377
2026-04-08 14:10:00,-4.8108968842362186e-05
2026-04-08 14:15:00,-0.0022460707045503197
2026-04-08 14:20:00,0.00030964249924075675
2026-04-08 14:25:00,0.00037032250391089616
2026-04-08 14:30:00,-0.00039578421974685194
2026-04-08 14:35:00,-0.00045147389629029717
2026-04-08 14:40:00,-0.0005810316273994265
2026-04-08 14:45:00,-0.00024284211955798843
2026-04-08 14:50:00,6.0611391850333966e-05
2026-04-08 14:55:00,-0.0009484515653134808
2026-04-08 15:00:00,0.00013207195318897585
2026-04-08 15:05:00,0.0005170199666413989
2026-04-08 15:10:00,0.0014485155594277136
2026-04-08 15:15:00,-0.00037357377906131815
2026-04-08 15:20:00,-0.00011982093515169972
2026-04-08 15:25:00,-0.0002436212783290344
2026-04-08 15:30:00,0.0012994097931710953
2026-04-08 15:35:00,0.00019895704040064348
2026-04-08 15:40:00,-0.00010981336052729178
2026-04-08 15:45:00,-0.00016701086535603167
2026-04-08 15:50:00,0.0009219444911156453
2026-04-08 15:55:00,0.0005228915712375338
2026-04-09 09:30:00,-0.003092717604595177
2026-04-09 09:35:00,-0.0005394202986744063
2026-04-09 09:40:00,0.0005046228952991247
2026-04-09 09:45:00,-0.0009929812218557577
2026-04-09 09:50:00,0.0001159794982837285
2026-04-09 09:55:00,0.0013854266131568985
2026-04-09 10:00:00,-0.0006233823486160401
2026-04-09 10:05:00,-0.0005845207194177577
2026-04-09 10:10:00,-0.00034830800469264506
2026-04-09 10:15:00,-0.0002556195846965079
2026-04-09 10:20:00,0.0001902651684724465
2026-04-09 10:25:00,-0.00027059808377204056
2026-04-09 10:30:00,-0.00046062591766519745
2026-04-09 10:35:00,0.0002874129673091331
2026-04-09 10:40:00,-0.000497637419145103
2026-04-09 10:45:00,-0.00039288235269513823
2026-04-09 10:50:00,9.892240596593915e-05
2026-04-09 10:55:00,0.00011367691513624489
2026-04-09 11:00:00,-0.0013942236193674794
2026-04-09 11:05:00,0.0008992742581703356
2026-04-09 11:10:00,2.369006182455498e-06
2026-04-09 11:15:00,0.0005540638531847542
2026-04-09 11:20:00,-0.0005606110154338165
2026-04-09 11:25:00,0.0004387960907013779
2026-04-09 11:30:00,0.0020822830374876084
2026-04-09 11:35:00,-0.0002736466030897764
2026-04-09 11:40:00,0.0006095591950626745
2026-04-09 11:45:00,0.0003494311817379195
2026-04-09 11:50:00,0.00036998738212734605
2026-04-09 11:55:00,0.00012575913806355871
2026-04-09 12:00:00,0.0013266493568960564
2026-04-09 12:05:00,-9.954869018057835e-05
2026-04-09 12:10:00,0.00020612029334733382
2026-04-09 12:15:00,0.0007441742259193159
2026-04-09 12:20:00,-0.000394260267556567
2026-04-09 12:25:00,-0.00014822709456706315
2026-04-09 12:30:00,-0.00019752569703805219
2026-04-09 12:35:00,-0.0003465378235613906
2026-04-09 12:40:00,0.00024053239463123948
2026-04-09 12:45:00,8.472138653120101e-05
2026-04-09 12:50:00,0.001027701826196042
2026-04-09 12:55:00,-2.45681126095628e-05
2026-04-09 13:00:00,0.0003437198279508439
2026-04-09 13:05:00,0.00040570739552610085
2026-04-09 13:10:00,-0.00018336972528454505
2026-04-09 13:15:00,0.0005481840129973193
2026-04-09 13:20:00,-0.00038259668488453653
2026-04-09 13:25:00,-0.00010654427727310984
2026-04-09 13:30:00,-0.000208059905807912
2026-04-09 13:35:00,0.0009303104963275875
2026-04-09 13:40:00,-0.0006831634861006
2026-04-09 13:45:00,0.00015621714012185173
2026-04-09 13:50:00,-0.0001742499247314601
2026-04-09 13:55:00,3.882991334065791e-05
2026-04-09 14:00:00,-0.002005037745367139
2026-04-09 14:05:00,0.0002457642728058881
2026-04-09 14:10:00,-0.0004305013364376434
2026-04-09 14:15:00,0.00033909817709430404
2026-04-09 14:20:00,-0.00035545049408339713
2026-04-09 14:25:00,-0.00010340554068955906
2026-04-09 14:30:00,-0.0004415459621812666
2026-04-09 14:35:00,0.0003472384138594138
2026-04-09 14:40:00,-0.0003496440538261083
2026-04-09 14:45:00,0.00010515708438029905
2026-04-09 14:50:00,-0.0004346389870488317
2026-04-09 14:55:00,0.0004729053011781324
2026-04-09 15:00:00,0.00027084056266500194
2026-04-09 15:05:00,0.0011781662423759201
